STATE,YEAR,RAPE,K&A,DD,AoW,AoM,DV,WT,STATE_POPULATION,TOTAL_CRIME,CRIME_RATE
ANDAMAN AND NICOBAR ISLANDS,01-01-2001,0,0,0,2,0,1,0,319337,3,0.939446416
ANDAMAN AND NICOBAR ISLANDS,01-02-2001,0,0,0,2,0,1,0,319808,3,0.938062838
ANDAMAN AND NICOBAR ISLANDS,01-03-2001,0,0,0,2,0,1,0,320280,3,0.936680405
ANDAMAN AND NICOBAR ISLANDS,01-04-2001,0,0,0,2,0,1,0,320752,3,0.93530204
ANDAMAN AND NICOBAR ISLANDS,01-05-2001,0,0,0,2,0,1,0,321225,3,0.933924819
ANDAMAN AND NICOBAR ISLANDS,01-06-2001,0,0,0,2,0,1,0,321699,3,0.932548749
ANDAMAN AND NICOBAR ISLANDS,01-07-2001,0,0,0,2,0,1,0,322174,3,0.931173838
ANDAMAN AND NICOBAR ISLANDS,01-08-2001,0,0,0,2,0,1,0,322649,3,0.929802975
ANDAMAN AND NICOBAR ISLANDS,01-09-2001,0,0,0,2,0,1,0,323125,3,0.928433269
ANDAMAN AND NICOBAR ISLANDS,01-10-2001,0,0,0,2,0,1,0,323601,3,0.927067592
ANDAMAN AND NICOBAR ISLANDS,01-11-2001,0,0,0,2,0,1,0,324079,3,0.925700215
ANDAMAN AND NICOBAR ISLANDS,01-12-2001,0,0,0,2,0,1,0,324557,3,0.924336865
ANDAMAN AND NICOBAR ISLANDS,01-01-2002,0,0,0,1,0,0,0,324989,2,0.615405444
ANDAMAN AND NICOBAR ISLANDS,01-02-2002,0,0,0,1,0,0,0,325468,2,0.614499736
ANDAMAN AND NICOBAR ISLANDS,01-03-2002,0,0,0,1,0,0,0,325948,2,0.613594807
ANDAMAN AND NICOBAR ISLANDS,01-04-2002,0,0,0,1,0,0,0,326429,2,0.612690662
ANDAMAN AND NICOBAR ISLANDS,01-05-2002,0,0,0,1,0,0,0,326911,2,0.611787306
ANDAMAN AND NICOBAR ISLANDS,01-06-2002,0,0,0,1,0,0,0,327393,2,0.61088661
ANDAMAN AND NICOBAR ISLANDS,01-07-2002,0,0,0,1,0,0,0,327876,2,0.609986702
ANDAMAN AND NICOBAR ISLANDS,01-08-2002,0,0,0,1,0,0,0,328359,2,0.609089442
ANDAMAN AND NICOBAR ISLANDS,01-09-2002,0,0,0,1,0,0,0,328844,2,0.608191118
ANDAMAN AND NICOBAR ISLANDS,01-10-2002,0,0,0,1,0,0,0,329329,2,0.60729544
