State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,State Population,Total Crimes,Crime Rate
ANDAMAN AND NICOBAR ISLANDS,2001,3,2,0,19,1,9,0,319337,34,10.64705937614495
ANDAMAN AND NICOBAR ISLANDS,2002,2,1,0,17,3,4,0,324989,27,8.30797350064156
ANDAMAN AND NICOBAR ISLANDS,2003,2,2,0,9,2,7,0,330741,22,6.651730508161975
ANDAMAN AND NICOBAR ISLANDS,2004,10,3,0,6,3,5,0,336595,27,8.021509529256228
ANDAMAN AND NICOBAR ISLANDS,2005,4,1,0,11,1,5,0,342553,22,6.422363838588481
ANDAMAN AND NICOBAR ISLANDS,2006,6,5,0,14,4,7,0,348616,36,10.32654840856415
ANDAMAN AND NICOBAR ISLANDS,2007,3,9,1,21,2,18,0,354787,54,15.220399845541127
ANDAMAN AND NICOBAR ISLANDS,2008,12,13,2,24,3,26,0,361066,80,22.15661402624451
ANDAMAN AND NICOBAR ISLANDS,2009,18,14,1,30,7,21,0,367457,91,24.76480241225504
ANDAMAN AND NICOBAR ISLANDS,2010,24,8,0,31,10,9,0,373961,82,21.92742023900888
ANDAMAN AND NICOBAR ISLANDS,2011,13,12,0,0,3,5,3,380581,36,9.459221558616957
ANDAMAN AND NICOBAR ISLANDS,2012,12,7,2,10,4,5,2,385909,42,10.883394789963438
ANDAMAN AND NICOBAR ISLANDS,2013,27,12,1,45,8,9,4,391311,106,27.08842838560633
ANDAMAN AND NICOBAR ISLANDS,2014,32,17,0,41,18,14,1,396790,123,30.99876508984601
ANDAMAN AND NICOBAR ISLANDS,2015,36,21,0,57,23,14,0,402345,151,37.529980489381
ANDAMAN AND NICOBAR ISLANDS,2016,30,21,0,46,15,7,0,407978,119,29.16823946389266
ANDAMAN AND NICOBAR ISLANDS,2017,13,3,1,38,11,4,0,413689,70,16.920923689051435
ANDAMAN AND NICOBAR ISLANDS,2018,30,2,0,35,4,4,0,419481,75,17.87923648508514
ANDAMAN AND NICOBAR ISLANDS,2019,13,0,0,25,3,1,0,425354,42,9.874128373072782
ANDAMAN AND NICOBAR ISLANDS,2020,60,90,1,42,4,96,0,431309,293,67.93273499973337
ANDAMAN AND NICOBAR ISLANDS,2021,74,120,4,37,6,95,0,437347,336,76.82686745307501
ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7,41439368,13669,32.985541671388425
ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0,42172845,15146,35.91410539175149
ANDHRA PRADESH,2003,946,931,466,4128,2286,8167,5,42919305,16929,39.443788756598
ANDHRA PRADESH,2004,1016,1030,512,3817,2310,8388,2,43678976,17075,39.092033659397146
ANDHRA PRADESH,2005,935,995,443,3595,2508,8696,3,44452094,17175,38.63709997553771
