STATE,YEAR,RAPE,K&A,DD,AoW,AoM,DV,WT,STATE_POPULATION,TOTAL_CRIME,CRIME_RATE
HARYANA,2001-01-01,33,25,24,40,33,126,0,21271850,281,1.320994648
HARYANA,2001-02-01,33,25,24,40,33,126,0,21303226,281,1.319049049
HARYANA,2001-03-01,33,25,24,40,33,126,0,21334648,281,1.317106333
HARYANA,2001-04-01,33,25,24,40,33,126,0,21366117,281,1.315166439
HARYANA,2001-05-01,33,25,24,40,33,126,0,21397632,281,1.313229427
HARYANA,2001-06-01,33,25,24,40,33,126,0,21429193,281,1.311295297
HARYANA,2001-07-01,33,25,24,40,33,126,0,21460801,281,1.309363989
HARYANA,2001-08-01,33,25,24,40,33,126,0,21492456,281,1.307435502
HARYANA,2001-09-01,33,25,24,40,33,126,0,21524157,281,1.305509898
HARYANA,2001-10-01,33,25,24,40,33,126,0,21555906,281,1.303587054
HARYANA,2001-11-01,33,25,24,40,33,126,0,21587701,281,1.301667093
HARYANA,2001-12-01,33,25,24,40,33,126,0,21619542,281,1.299750013
HARYANA,2002-01-01,30,24,21,38,119,130,0,21648361,362,1.672182019
HARYANA,2002-02-01,30,24,21,38,119,130,0,21680292,362,1.669719209
HARYANA,2002-03-01,30,24,21,38,119,130,0,21712271,362,1.667259956
HARYANA,2002-04-01,30,24,21,38,119,130,0,21744296,362,1.664804416
HARYANA,2002-05-01,30,24,21,38,119,130,0,21776369,362,1.662352434
HARYANA,2002-06-01,30,24,21,38,119,130,0,21808489,362,1.659904086
HARYANA,2002-07-01,30,24,21,38,119,130,0,21840657,362,1.657459297
HARYANA,2002-08-01,30,24,21,38,119,130,0,21872872,362,1.655018143
HARYANA,2002-09-01,30,24,21,38,119,130,0,21905134,362,1.652580623
HARYANA,2002-10-01,30,24,21,38,119,130,0,21937444,362,1.650146662
HARYANA,2002-11-01,30,24,21,38,119,130,0,21969802,362,1.647716261
HARYANA,2002-12-01,30,24,21,38,119,130,0,22002208,362,1.645289418
HARYANA,2003-01-01,29,23,18,29,108,135,0,22031537,342,1.552320204
HARYANA,2003-02-01,29,23,18,29,108,135,0,22064034,342,1.55003387
HARYANA,2003-03-01,29,23,18,29,108,135,0,22096578,342,1.547750968
HARYANA,2003-04-01,29,23,18,29,108,135,0,22129170,342,1.54547143
HARYANA,2003-05-01,29,23,18,29,108,135,0,22161811,342,1.543195184
HARYANA,2003-06-01,29,23,18,29,108,135,0,22194500,342,1.540922301
HARYANA,2003-07-01,29,23,18,29,108,135,0,22227237,342,1.53865278
HARYANA,2003-08-01,29,23,18,29,108,135,0,22260022,342,1.536386622
HARYANA,2003-09-01,29,23,18,29,108,135,0,22292855,342,1.534123826
HARYANA,2003-10-01,29,23,18,29,108,135,0,22325737,342,1.531864323
HARYANA,2003-11-01,29,23,18,29,108,135,0,22358668,342,1.529608114
HARYANA,2003-12-01,29,23,18,29,108,135,0,22391647,342,1.527355268
HARYANA,2004-01-01,32,24,21,34,71,169,0,22421496,351,1.565462001
HARYANA,2004-02-01,32,24,21,34,71,169,0,22454568,351,1.563156325
HARYANA,2004-03-01,32,24,21,34,71,169,0,22487688,351,1.560854099
HARYANA,2004-04-01,32,24,21,34,71,169,0,22520858,351,1.558555185
HARYANA,2004-05-01,32,24,21,34,71,169,0,22554076,351,1.55625972
HARYANA,2004-06-01,32,24,21,34,71,169,0,22587343,351,1.553967636
HARYANA,2004-07-01,32,24,21,34,71,169,0,22620659,351,1.551678932
HARYANA,2004-08-01,32,24,21,34,71,169,0,22654025,351,1.54939354
HARYANA,2004-09-01,32,24,21,34,71,169,0,22687440,351,1.54711153
HARYANA,2004-10-01,32,24,21,34,71,169,0,22720904,351,1.544832899
HARYANA,2004-11-01,32,24,21,34,71,169,0,22754417,351,1.542557649
HARYANA,2004-12-01,32,24,21,34,71,169,0,22787980,351,1.540285712
HARYANA,2005-01-01,38,29,18,32,50,173,0,22818356,339,1.48564603
HARYANA,2005-02-01,38,29,18,32,50,173,0,22852013,339,1.483457934
HARYANA,2005-03-01,38,29,18,32,50,173,0,22885720,339,1.481273038
HARYANA,2005-04-01,38,29,18,32,50,173,0,22919476,339,1.479091407
HARYANA,2005-05-01,38,29,18,32,50,173,0,22953282,339,1.476912975
HARYANA,2005-06-01,38,29,18,32,50,173,0,22987139,339,1.474737678
HARYANA,2005-07-01,38,29,18,32,50,173,0,23021045,339,1.472565646
HARYANA,2005-08-01,38,29,18,32,50,173,0,23055001,339,1.470396813
HARYANA,2005-09-01,38,29,18,32,50,173,0,23089007,339,1.46823118
HARYANA,2005-10-01,38,29,18,32,50,173,0,23123063,339,1.466068747
HARYANA,2005-11-01,38,29,18,32,50,173,0,23157170,339,1.46390945
HARYANA,2005-12-01,38,29,18,32,50,173,0,23191326,339,1.461753416
HARYANA,2006-01-01,51,36,21,40,41,188,0,23222241,377,1.623443663
HARYANA,2006-02-01,51,36,21,40,41,188,0,23256494,377,1.621052597
HARYANA,2006-03-01,51,36,21,40,41,188,0,23290797,377,1.618665089
HARYANA,2006-04-01,51,36,21,40,41,188,0,23325151,377,1.616281069
HARYANA,2006-05-01,51,36,21,40,41,188,0,23359556,377,1.613900538
HARYANA,2006-06-01,51,36,21,40,41,188,0,23394011,377,1.611523565
HARYANA,2006-07-01,51,36,21,40,41,188,0,23428517,377,1.60915008
HARYANA,2006-08-01,51,36,21,40,41,188,0,23463074,377,1.606780083
HARYANA,2006-09-01,51,36,21,40,41,188,0,23497682,377,1.604413576
HARYANA,2006-10-01,51,36,21,40,41,188,0,23532341,377,1.602050557
HARYANA,2006-11-01,51,36,21,40,41,188,0,23567052,377,1.599690958
HARYANA,2006-12-01,51,36,21,40,41,188,0,23601813,377,1.597334917
HARYANA,2007-01-01,41,46,22,35,34,201,0,23633275,379,1.603671095
HARYANA,2007-02-01,41,46,22,35,34,201,0,23668134,379,1.60130917
HARYANA,2007-03-01,41,46,22,35,34,201,0,23703045,379,1.598950683
HARYANA,2007-04-01,41,46,22,35,34,201,0,23738007,379,1.596595704
HARYANA,2007-05-01,41,46,22,35,34,201,0,23773020,379,1.594244231
HARYANA,2007-06-01,41,46,22,35,34,201,0,23808085,379,1.591896198
HARYANA,2007-07-01,41,46,22,35,34,201,0,23843202,379,1.589551605
HARYANA,2007-08-01,41,46,22,35,34,201,0,23878371,379,1.587210451
HARYANA,2007-09-01,41,46,22,35,34,201,0,23913592,379,1.584872737
HARYANA,2007-10-01,41,46,22,35,34,201,0,23948864,379,1.582538529
HARYANA,2007-11-01,41,46,22,35,34,201,0,23984189,379,1.580207694
HARYANA,2007-12-01,41,46,22,35,34,201,0,24019565,379,1.577880365
HARYANA,2008-01-01,53,54,25,36,50,203,0,24051584,421,1.750404464
HARYANA,2008-02-01,53,54,25,36,50,203,0,24087060,421,1.747826426
HARYANA,2008-03-01,53,54,25,36,50,203,0,24122589,421,1.745252137
HARYANA,2008-04-01,53,54,25,36,50,203,0,24158169,421,1.74268174
HARYANA,2008-05-01,53,54,25,36,50,203,0,24193803,421,1.74011502
HARYANA,2008-06-01,53,54,25,36,50,203,0,24229488,421,1.737552193
HARYANA,2008-07-01,53,54,25,36,50,203,0,24265227,421,1.734993042
HARYANA,2008-08-01,53,54,25,36,50,203,0,24301018,421,1.732437711
HARYANA,2008-09-01,53,54,25,36,50,203,0,24336862,421,1.729886129
HARYANA,2008-10-01,53,54,25,36,50,203,0,24372759,421,1.727338296
HARYANA,2008-11-01,53,54,25,36,50,203,0,24408709,421,1.724794212
HARYANA,2008-12-01,53,54,25,36,50,203,0,24444712,421,1.722253876
HARYANA,2009-01-01,50,55,23,38,50,218,0,24477297,435,1.777157012
HARYANA,2009-02-01,50,55,23,38,50,218,0,24513401,435,1.774539567
HARYANA,2009-03-01,50,55,23,38,50,218,0,24549558,435,1.771925996
HARYANA,2009-04-01,50,55,23,38,50,218,0,24585769,435,1.769316225
HARYANA,2009-05-01,50,55,23,38,50,218,0,24622033,435,1.766710328
HARYANA,2009-06-01,50,55,23,38,50,218,0,24658350,435,1.764108304
HARYANA,2009-07-01,50,55,23,38,50,218,0,24694721,435,1.761510081
HARYANA,2009-08-01,50,55,23,38,50,218,0,24731146,435,1.75891566
HARYANA,2009-09-01,50,55,23,38,50,218,0,24767625,435,1.756325041
HARYANA,2009-10-01,50,55,23,38,50,218,0,24804157,435,1.753738295
HARYANA,2009-11-01,50,55,23,38,50,218,0,24840743,435,1.75115535
HARYANA,2009-12-01,50,55,23,38,50,218,0,24877383,435,1.748576207
HARYANA,2010-01-01,60,60,24,40,48,227,0,24910545,458,1.838578803
HARYANA,2010-02-01,60,60,24,40,48,227,0,24947288,458,1.835870897
