STATE,YEAR,RAPE,K&A,DD,AoW,AoM,DV,WT,STATE_POPULATION,TOTAL_CRIME,CRIME_RATE
BIHAR,2001-01-01,74,43,72,47,2,130,7,87347543,374,0.428174608
BIHAR,2002-01-01,87,62,77,52,0,131,3,88893595,413,0.464600402
BIHAR,2003-01-01,82,56,76,57,1,157,3,90467012,432,0.477522127
BIHAR,2004-01-01,116,83,86,59,1,223,3,92068278,571,0.620191897
BIHAR,2005-01-01,96,77,84,38,1,131,6,93697886,434,0.463190813
BIHAR,2006-01-01,103,90,99,44,4,141,4,95356339,485,0.50861852
BIHAR,2007-01-01,130,105,98,71,1,136,5,97044146,545,0.561600078
BIHAR,2008-01-01,108,149,101,83,2,166,2,98761827,611,0.618660082
BIHAR,2009-01-01,77,166,108,60,1,211,3,100509912,626,0.622824145
BIHAR,2010-01-01,66,214,105,44,1,189,1,102288937,621,0.607103777
BIHAR,2011-01-01,78,254,118,0,1,217,2,104099452,670,0.6436153
BIHAR,2012-01-01,77,316,106,10,3,307,3,105556844,822,0.778727337
BIHAR,2013-01-01,94,368,98,28,4,378,5,107034640,976,0.911854331
BIHAR,2014-01-01,94,395,184,48,23,389,3,108533125,1134,1.0448423
BIHAR,2015-01-01,87,430,96,16,6,316,2,110052588,954,0.866858306
BIHAR,2016-01-01,84,458,82,27,10,316,4,111593325,982,0.879980949
BIHAR,2017-01-01,50,515,90,16,0,315,2,113155631,989,0.874017485
BIHAR,2018-01-01,54,663,92,22,2,212,4,114739810,1049,0.914242406
BIHAR,2019-01-01,61,752,93,26,1,200,3,116346167,1136,0.976396584
BIHAR,2001-01-02,74,43,72,47,2,130,7,87476381,374,0.427543979
BIHAR,2002-01-02,87,62,77,52,0,131,3,89024713,413,0.463916126
BIHAR,2003-01-02,82,56,76,57,1,157,3,90600451,432,0.476818818
BIHAR,2004-01-02,116,83,86,59,1,223,3,92204079,571,0.619278459
BIHAR,2005-01-02,96,77,84,38,1,131,6,93836090,434,0.462508615
BIHAR,2006-01-02,103,90,99,44,4,141,4,95496990,485,0.50786941
BIHAR,2007-01-02,130,105,98,71,1,136,5,97187286,545,0.560772939
BIHAR,2008-01-02,108,149,101,83,2,166,2,98907501,611,0.617748901
BIHAR,2009-01-02,77,166,108,60,1,211,3,100658164,626,0.621906833
BIHAR,2010-01-02,66,214,105,44,1,189,1,102439813,621,0.606209619
BIHAR,2011-01-02,78,254,118,0,1,217,2,104252999,670,0.642667363
BIHAR,2012-01-02,77,316,106,10,3,307,3,105680029,822,0.77781962
BIHAR,2013-01-02,94,368,98,28,4,378,5,107159549,976,0.910791441
BIHAR,2014-01-02,94,395,184,48,23,389,3,108659783,1134,1.043624392
BIHAR,2015-01-02,87,430,96,16,6,316,2,110181019,954,0.865847864
BIHAR,2016-01-02,84,458,82,27,10,316,4,111723554,982,0.878955211
BIHAR,2017-01-02,50,515,90,16,0,315,2,113287684,989,0.872998692
BIHAR,2018-01-02,54,663,92,22,2,212,4,114873711,1049,0.913176732
BIHAR,2019-01-02,61,752,93,26,1,200,3,116481943,1136,0.975258457
BIHAR,2001-01-03,74,43,72,47,2,130,7,87605408,374,0.426914284
BIHAR,2002-01-03,87,62,77,52,0,131,3,89156025,413,0.463232855
BIHAR,2003-01-03,82,56,76,57,1,157,3,90734087,432,0.476116545
BIHAR,2004-01-03,116,83,86,59,1,223,3,92340080,571,0.618366369
BIHAR,2005-01-03,96,77,84,38,1,131,6,93974499,434,0.461827416
BIHAR,2006-01-03,103,90,99,44,4,141,4,95637848,485,0.507121407
BIHAR,2007-01-03,130,105,98,71,1,136,5,97330637,545,0.559947019
BIHAR,2008-01-03,108,149,101,83,2,166,2,99053389,611,0.616839066
BIHAR,2009-01-03,77,166,108,60,1,211,3,100806635,626,0.62099087
BIHAR,2010-01-03,66,214,105,44,1,189,1,102590912,621,0.605316775
BIHAR,2011-01-03,78,254,118,0,1,217,2,104406772,670,0.641720826
BIHAR,2012-01-03,77,316,106,10,3,307,3,105803357,822,0.776912967
BIHAR,2013-01-03,94,368,98,28,4,378,5,107284605,976,0.909729779
BIHAR,2014-01-03,94,395,184,48,23,389,3,108786589,1134,1.042407902
BIHAR,2015-01-03,87,430,96,16,6,316,2,110309601,954,0.864838592
BIHAR,2016-01-03,84,458,82,27,10,316,4,111853936,982,0.877930661
BIHAR,2017-01-03,50,515,90,16,0,315,2,113419890,989,0.871981096
BIHAR,2018-01-03,54,663,92,22,2,212,4,115007769,1049,0.912112294
BIHAR,2019-01-03,61,752,93,26,1,200,3,116617877,1136,0.974121661
BIHAR,2001-01-04,74,43,72,47,2,130,7,87734626,374,0.426285512
BIHAR,2002-01-04,87,62,77,52,0,131,3,89287530,413,0.462550594
BIHAR,2003-01-04,82,56,76,57,1,157,3,90867919,432,0.475415311
BIHAR,2004-01-04,116,83,86,59,1,223,3,92476281,571,0.617455626
BIHAR,2005-01-04,96,77,84,38,1,131,6,94113111,434,0.461147225
BIHAR,2006-01-04,103,90,99,44,4,141,4,95778913,485,0.506374509
BIHAR,2007-01-04,130,105,98,71,1,136,5,97474200,545,0.559122311
BIHAR,2008-01-04,108,149,101,83,2,166,2,99199493,611,0.615930567
BIHAR,2009-01-04,77,166,108,60,1,211,3,100955325,626,0.620076257
BIHAR,2010-01-04,66,214,105,44,1,189,1,102742234,621,0.604425245
BIHAR,2011-01-04,78,254,118,0,1,217,2,104560772,670,0.640775682
BIHAR,2012-01-04,77,316,106,10,3,307,3,105926830,822,0.776007363
BIHAR,2013-01-04,94,368,98,28,4,378,5,107409806,976,0.908669363
BIHAR,2014-01-04,94,395,184,48,23,389,3,108913543,1134,1.041192829
BIHAR,2015-01-04,87,430,96,16,6,316,2,110438332,954,0.863830504
BIHAR,2016-01-04,84,458,82,27,10,316,4,111984469,982,0.876907315
BIHAR,2017-01-04,50,515,90,16,0,315,2,113552251,989,0.87096468
BIHAR,2018-01-04,54,663,92,22,2,212,4,115141983,1049,0.9110491
BIHAR,2019-01-04,61,752,93,26,1,200,3,116753970,1136,0.972986186
BIHAR,2001-01-05,74,43,72,47,2,130,7,87864035,374,0.425657665
BIHAR,2002-01-05,87,62,77,52,0,131,3,89419229,413,0.461869337
BIHAR,2003-01-05,82,56,76,57,1,157,3,91001949,432,0.474715107
BIHAR,2004-01-05,116,83,86,59,1,223,3,92612684,571,0.616546217
BIHAR,2005-01-05,96,77,84,38,1,131,6,94251928,434,0.460468034
BIHAR,2006-01-05,103,90,99,44,4,141,4,95920187,485,0.505628706
BIHAR,2007-01-05,130,105,98,71,1,136,5,97617974,545,0.558298823
BIHAR,2008-01-05,108,149,101,83,2,166,2,99345812,611,0.615023409
BIHAR,2009-01-05,77,166,108,60,1,211,3,101104234,626,0.619162992
BIHAR,2010-01-05,66,214,105,44,1,189,1,102893778,621,0.603535036
BIHAR,2011-01-05,78,254,118,0,1,217,2,104714999,670,0.639831931
BIHAR,2012-01-05,77,316,106,10,3,307,3,106050447,822,0.775102815
BIHAR,2013-01-05,94,368,98,28,4,378,5,107535153,976,0.907610184
BIHAR,2014-01-05,94,395,184,48,23,389,3,109040645,1134,1.039979175
BIHAR,2015-01-05,87,430,96,16,6,316,2,110567213,954,0.862823593
BIHAR,2016-01-05,84,458,82,27,10,316,4,112115155,982,0.875885156
BIHAR,2017-01-05,50,515,90,16,0,315,2,113684767,989,0.869949445
BIHAR,2018-01-05,54,663,92,22,2,212,4,115276354,1049,0.909987143
BIHAR,2019-01-05,61,752,93,26,1,200,3,116890222,1136,0.971852034
BIHAR,2001-01-06,74,43,72,47,2,130,7,87993634,374,0.425030747
BIHAR,2002-01-06,87,62,77,52,0,131,3,89551122,413,0.461189085
BIHAR,2003-01-06,82,56,76,57,1,157,3,91136177,432,0.474015933
BIHAR,2004-01-06,116,83,86,59,1,223,3,92749288,571,0.615638149
BIHAR,2005-01-06,96,77,84,38,1,131,6,94390949,434,0.459789847
BIHAR,2006-01-06,103,90,99,44,4,141,4,96061670,485,0.504883998
