ds,y
2001-01-01,281
2001-02-01,281
2001-03-01,281
2001-04-01,281
2001-05-01,281
2001-06-01,281
2001-07-01,281
2001-08-01,281
2001-09-01,281
2001-10-01,281
2001-11-01,281
2001-12-01,281
2002-01-01,362
2002-02-01,362
2002-03-01,362
2002-04-01,362
2002-05-01,362
2002-06-01,362
2002-07-01,362
2002-08-01,362
2002-09-01,362
2002-10-01,362
2002-11-01,362
2002-12-01,362
2003-01-01,342
2003-02-01,342
2003-03-01,342
2003-04-01,342
2003-05-01,342
2003-06-01,342
2003-07-01,342
2003-08-01,342
2003-09-01,342
2003-10-01,342
2003-11-01,342
2003-12-01,342
2004-01-01,351
2004-02-01,351
2004-03-01,351
2004-04-01,351
2004-05-01,351
2004-06-01,351
2004-07-01,351
2004-08-01,351
2004-09-01,351
2004-10-01,351
2004-11-01,351
2004-12-01,351
2005-01-01,339
2005-02-01,339
2005-03-01,339
2005-04-01,339
2005-05-01,339
2005-06-01,339
2005-07-01,339
2005-08-01,339
2005-09-01,339
2005-10-01,339
2005-11-01,339
2005-12-01,339
2006-01-01,377
2006-02-01,377
2006-03-01,377
2006-04-01,377
2006-05-01,377
2006-06-01,377
2006-07-01,377
2006-08-01,377
2006-09-01,377
2006-10-01,377
2006-11-01,377
2006-12-01,377
2007-01-01,379
2007-02-01,379
2007-03-01,379
2007-04-01,379
2007-05-01,379
2007-06-01,379
2007-07-01,379
2007-08-01,379
2007-09-01,379
2007-10-01,379
2007-11-01,379
2007-12-01,379
2008-01-01,421
2008-02-01,421
2008-03-01,421
2008-04-01,421
2008-05-01,421
2008-06-01,421
2008-07-01,421
2008-08-01,421
2008-09-01,421
2008-10-01,421
2008-11-01,421
2008-12-01,421
2009-01-01,435
2009-02-01,435
2009-03-01,435
2009-04-01,435
2009-05-01,435
2009-06-01,435
2009-07-01,435
2009-08-01,435
2009-09-01,435
2009-10-01,435
2009-11-01,435
2009-12-01,435
2010-01-01,458
2010-02-01,458
2010-03-01,458
2010-04-01,458
2010-05-01,458
2010-06-01,458
2010-07-01,458
2010-08-01,458
2010-09-01,458
2010-10-01,458
2010-11-01,458
2010-12-01,458
2011-01-01,417
2011-02-01,417
2011-03-01,417
2011-04-01,417
2011-05-01,417
2011-06-01,417
2011-07-01,417
2011-08-01,417
2011-09-01,417
2011-10-01,417
2011-11-01,417
2011-12-01,417
2012-01-01,499
2012-02-01,499
2012-03-01,499
2012-04-01,499
2012-05-01,499
2012-06-01,499
2012-07-01,499
2012-08-01,499
2012-09-01,499
2012-10-01,499
2012-11-01,499
2012-12-01,499
2013-01-01,756
2013-02-01,756
2013-03-01,756
2013-04-01,756
2013-05-01,756
2013-06-01,756
2013-07-01,756
2013-08-01,756
2013-09-01,756
2013-10-01,756
2013-11-01,756
2013-12-01,756
2014-01-01,743
2014-02-01,743
2014-03-01,743
2014-04-01,743
2014-05-01,743
2014-06-01,743
2014-07-01,743
2014-08-01,743
2014-09-01,743
2014-10-01,743
2014-11-01,743
2014-12-01,743
2015-01-01,816
2015-02-01,816
2015-03-01,816
2015-04-01,816
2015-05-01,816
2015-06-01,816
2015-07-01,816
2015-08-01,816
2015-09-01,816
2015-10-01,816
2015-11-01,816
2015-12-01,816
2016-01-01,840
2016-02-01,840
2016-03-01,840
2016-04-01,840
2016-05-01,840
2016-06-01,840
2016-07-01,840
2016-08-01,840
2016-09-01,840
2016-10-01,840
2016-11-01,840
2016-12-01,840
2017-01-01,824
2017-02-01,824
2017-03-01,824
2017-04-01,824
2017-05-01,824
2017-06-01,824
2017-07-01,824
2017-08-01,824
2017-09-01,824
2017-10-01,824
2017-11-01,824
2017-12-01,824
2018-01-01,999
2018-02-01,999
2018-03-01,999
2018-04-01,999
2018-05-01,999
2018-06-01,999
2018-07-01,999
2018-08-01,999
2018-09-01,999
2018-10-01,999
2018-11-01,999
2018-12-01,999
2019-01-01,1015
2019-02-01,1015
2019-03-01,1015
2019-04-01,1015
2019-05-01,1015
2019-06-01,1015
2019-07-01,1015
2019-08-01,1015
2019-09-01,1015
2019-10-01,1015
2019-11-01,1015
2019-12-01,1015
2020-01-01,893
2020-02-01,893
2020-03-01,893
2020-04-01,893
2020-05-01,893
2020-06-01,893
2020-07-01,893
2020-08-01,893
2020-09-01,893
2020-10-01,893
2020-11-01,893
2020-12-01,893
2021-01-01,1159
2021-02-01,1159
2021-03-01,1159
2021-04-01,1159
2021-05-01,1159
2021-06-01,1159
2021-07-01,1159
2021-08-01,1159
2021-09-01,1159
2021-10-01,1159
2021-11-01,1159
2021-12-01,1159
2001-01-01,73
2001-02-01,73
2001-03-01,73
2001-04-01,73
2001-05-01,73
2001-06-01,73
2001-07-01,73
2001-08-01,73
2001-09-01,73
2001-10-01,73
2001-11-01,73
2001-12-01,73
2002-01-01,69
2002-02-01,69
2002-03-01,69
2002-04-01,69
2002-05-01,69
2002-06-01,69
2002-07-01,69
2002-08-01,69
2002-09-01,69
2002-10-01,69
2002-11-01,69
2002-12-01,69
2003-01-01,60
2003-02-01,60
2003-03-01,60
2003-04-01,60
2003-05-01,60
2003-06-01,60
2003-07-01,60
2003-08-01,60
2003-09-01,60
2003-10-01,60
2003-11-01,60
2003-12-01,60
2004-01-01,68
2004-02-01,68
2004-03-01,68
2004-04-01,68
2004-05-01,68
2004-06-01,68
2004-07-01,68
2004-08-01,68
2004-09-01,68
2004-10-01,68
2004-11-01,68
2004-12-01,68
2005-01-01,66
2005-02-01,66
2005-03-01,66
2005-04-01,66
2005-05-01,66
2005-06-01,66
2005-07-01,66
2005-08-01,66
2005-09-01,66
2005-10-01,66
2005-11-01,66
2005-12-01,66
2006-01-01,66
2006-02-01,66
2006-03-01,66
2006-04-01,66
2006-05-01,66
2006-06-01,66
2006-07-01,66
2006-08-01,66
2006-09-01,66
2006-10-01,66
2006-11-01,66
2006-12-01,66
2007-01-01,84
2007-02-01,84
2007-03-01,84
2007-04-01,84
2007-05-01,84
2007-06-01,84
2007-07-01,84
2007-08-01,84
2007-09-01,84
2007-10-01,84
2007-11-01,84
2007-12-01,84
2008-01-01,81
2008-02-01,81
2008-03-01,81
2008-04-01,81
2008-05-01,81
2008-06-01,81
2008-07-01,81
2008-08-01,81
2008-09-01,81
2008-10-01,81
2008-11-01,81
2008-12-01,81
2009-01-01,79
2009-02-01,79
2009-03-01,79
2009-04-01,79
2009-05-01,79
2009-06-01,79
2009-07-01,79
2009-08-01,79
2009-09-01,79
2009-10-01,79
2009-11-01,79
2009-12-01,79
2010-01-01,86
2010-02-01,86
2010-03-01,86
2010-04-01,86
2010-05-01,86
2010-06-01,86
2010-07-01,86
2010-08-01,86
2010-09-01,86
2010-10-01,86
2010-11-01,86
2010-12-01,86
2011-01-01,56
2011-02-01,56
2011-03-01,56
2011-04-01,56
2011-05-01,56
2011-06-01,56
2011-07-01,56
2011-08-01,56
2011-09-01,56
2011-10-01,56
2011-11-01,56
2011-12-01,56
2012-01-01,76
2012-02-01,76
2012-03-01,76
2012-04-01,76
2012-05-01,76
2012-06-01,76
2012-07-01,76
2012-08-01,76
2012-09-01,76
2012-10-01,76
2012-11-01,76
2012-12-01,76
2013-01-01,123
2013-02-01,123
2013-03-01,123
2013-04-01,123
2013-05-01,123
2013-06-01,123
2013-07-01,123
2013-08-01,123
2013-09-01,123
2013-10-01,123
2013-11-01,123
2013-12-01,123
2014-01-01,128
2014-02-01,128
2014-03-01,128
2014-04-01,128
2014-05-01,128
2014-06-01,128
2014-07-01,128
2014-08-01,128
2014-09-01,128
2014-10-01,128
2014-11-01,128
2014-12-01,128
2015-01-01,104
2015-02-01,104
2015-03-01,104
2015-04-01,104
2015-05-01,104
2015-06-01,104
2015-07-01,104
2015-08-01,104
2015-09-01,104
2015-10-01,104
2015-11-01,104
2015-12-01,104
2016-01-01,100
2016-02-01,100
2016-03-01,100
2016-04-01,100
2016-05-01,100
2016-06-01,100
2016-07-01,100
2016-08-01,100
2016-09-01,100
2016-10-01,100
2016-11-01,100
2016-12-01,100
2017-01-01,95
2017-02-01,95
2017-03-01,95
2017-04-01,95
2017-05-01,95
2017-06-01,95
2017-07-01,95
2017-08-01,95
2017-09-01,95
2017-10-01,95
2017-11-01,95
2017-12-01,95
2018-01-01,123
2018-02-01,123
2018-03-01,123
2018-04-01,123
2018-05-01,123
2018-06-01,123
2018-07-01,123
2018-08-01,123
2018-09-01,123
2018-10-01,123
2018-11-01,123
2018-12-01,123
2019-01-01,126
2019-02-01,126
2019-03-01,126
2019-04-01,126
2019-05-01,126
2019-06-01,126
2019-07-01,126
2019-08-01,126
2019-09-01,126
2019-10-01,126
2019-11-01,126
2019-12-01,126
2020-01-01,125
2020-02-01,125
2020-03-01,125
2020-04-01,125
2020-05-01,125
2020-06-01,125
2020-07-01,125
2020-08-01,125
2020-09-01,125
2020-10-01,125
2020-11-01,125
2020-12-01,125
2021-01-01,126
2021-02-01,126
2021-03-01,126
2021-04-01,126
2021-05-01,126
2021-06-01,126
2021-07-01,126
2021-08-01,126
2021-09-01,126
2021-10-01,126
2021-11-01,126
2021-12-01,126
2001-01-01,137
2001-02-01,137
2001-03-01,137
2001-04-01,137
2001-05-01,137
2001-06-01,137
2001-07-01,137
2001-08-01,137
2001-09-01,137
2001-10-01,137
2001-11-01,137
2001-12-01,137
2002-01-01,168
2002-02-01,168
2002-03-01,168
2002-04-01,168
2002-05-01,168
2002-06-01,168
2002-07-01,168
2002-08-01,168
2002-09-01,168
2002-10-01,168
2002-11-01,168
2002-12-01,168
2003-01-01,180
2003-02-01,180
2003-03-01,180
2003-04-01,180
2003-05-01,180
2003-06-01,180
2003-07-01,180
2003-08-01,180
2003-09-01,180
2003-10-01,180
2003-11-01,180
2003-12-01,180
2004-01-01,183
2004-02-01,183
2004-03-01,183
2004-04-01,183
2004-05-01,183
2004-06-01,183
2004-07-01,183
2004-08-01,183
2004-09-01,183
2004-10-01,183
2004-11-01,183
2004-12-01,183
2005-01-01,178
2005-02-01,178
2005-03-01,178
2005-04-01,178
2005-05-01,178
2005-06-01,178
2005-07-01,178
2005-08-01,178
2005-09-01,178
2005-10-01,178
2005-11-01,178
2005-12-01,178
2006-01-01,202
2006-02-01,202
2006-03-01,202
2006-04-01,202
2006-05-01,202
2006-06-01,202
2006-07-01,202
2006-08-01,202
2006-09-01,202
2006-10-01,202
2006-11-01,202
2006-12-01,202
2007-01-01,210
2007-02-01,210
2007-03-01,210
2007-04-01,210
2007-05-01,210
2007-06-01,210
2007-07-01,210
2007-08-01,210
2007-09-01,210
2007-10-01,210
2007-11-01,210
2007-12-01,210
2008-01-01,191
2008-02-01,191
2008-03-01,191
2008-04-01,191
2008-05-01,191
2008-06-01,191
2008-07-01,191
2008-08-01,191
2008-09-01,191
2008-10-01,191
2008-11-01,191
2008-12-01,191
2009-01-01,218
2009-02-01,218
2009-03-01,218
2009-04-01,218
2009-05-01,218
2009-06-01,218
2009-07-01,218
2009-08-01,218
2009-09-01,218
2009-10-01,218
2009-11-01,218
2009-12-01,218
2010-01-01,217
2010-02-01,217
2010-03-01,217
2010-04-01,217
2010-05-01,217
2010-06-01,217
2010-07-01,217
2010-08-01,217
2010-09-01,217
2010-10-01,217
2010-11-01,217
2010-12-01,217
2011-01-01,162
2011-02-01,162
2011-03-01,162
2011-04-01,162
2011-05-01,162
2011-06-01,162
2011-07-01,162
2011-08-01,162
2011-09-01,162
2011-10-01,162
2011-11-01,162
2011-12-01,162
2012-01-01,277
2012-02-01,277
2012-03-01,277
2012-04-01,277
2012-05-01,277
2012-06-01,277
2012-07-01,277
2012-08-01,277
2012-09-01,277
2012-10-01,277
2012-11-01,277
2012-12-01,277
2013-01-01,292
2013-02-01,292
2013-03-01,292
2013-04-01,292
2013-05-01,292
2013-06-01,292
2013-07-01,292
2013-08-01,292
2013-09-01,292
2013-10-01,292
2013-11-01,292
2013-12-01,292
2014-01-01,273
2014-02-01,273
2014-03-01,273
2014-04-01,273
2014-05-01,273
2014-06-01,273
2014-07-01,273
2014-08-01,273
2014-09-01,273
2014-10-01,273
2014-11-01,273
2014-12-01,273
2015-01-01,280
2015-02-01,280
2015-03-01,280
2015-04-01,280
2015-05-01,280
2015-06-01,280
2015-07-01,280
2015-08-01,280
2015-09-01,280
2015-10-01,280
2015-11-01,280
2015-12-01,280
2016-01-01,239
2016-02-01,239
2016-03-01,239
2016-04-01,239
2016-05-01,239
2016-06-01,239
2016-07-01,239
2016-08-01,239
2016-09-01,239
2016-10-01,239
2016-11-01,239
2016-12-01,239
2017-01-01,256
2017-02-01,256
2017-03-01,256
2017-04-01,256
2017-05-01,256
2017-06-01,256
2017-07-01,256
2017-08-01,256
2017-09-01,256
2017-10-01,256
2017-11-01,256
2017-12-01,256
2018-01-01,278
2018-02-01,278
2018-03-01,278
2018-04-01,278
2018-05-01,278
2018-06-01,278
2018-07-01,278
2018-08-01,278
2018-09-01,278
2018-10-01,278
2018-11-01,278
2018-12-01,278
2019-01-01,244
2019-02-01,244
2019-03-01,244
2019-04-01,244
2019-05-01,244
2019-06-01,244
2019-07-01,244
2019-08-01,244
2019-09-01,244
2019-10-01,244
2019-11-01,244
2019-12-01,244
2020-01-01,401
2020-02-01,401
2020-03-01,401
2020-04-01,401
2020-05-01,401
2020-06-01,401
2020-07-01,401
2020-08-01,401
2020-09-01,401
2020-10-01,401
2020-11-01,401
2020-12-01,401
2021-01-01,428
2021-02-01,428
2021-03-01,428
2021-04-01,428
2021-05-01,428
2021-06-01,428
2021-07-01,428
2021-08-01,428
2021-09-01,428
2021-10-01,428
2021-11-01,428
2021-12-01,428
2001-01-01,194
2001-02-01,194
2001-03-01,194
2001-04-01,194
2001-05-01,194
2001-06-01,194
2001-07-01,194
2001-08-01,194
2001-09-01,194
2001-10-01,194
2001-11-01,194
2001-12-01,194
2002-01-01,187
2002-02-01,187
2002-03-01,187
2002-04-01,187
2002-05-01,187
2002-06-01,187
2002-07-01,187
2002-08-01,187
2002-09-01,187
2002-10-01,187
2002-11-01,187
2002-12-01,187
2003-01-01,193
2003-02-01,193
2003-03-01,193
